ID,day_of_week_end,XBB.2.3,States
Region 1,2023-07-08,13.310511410236359,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont"
Region 10,2023-07-08,21.49227112531662,"Alaska, Idaho, Oregon, and Washington"
Region 2,2023-07-08,13.841021060943604,"New Jersey, New York, Puerto Rico, and the Virgin Islands"
Region 3,2023-07-08,16.365617513656616,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, and West Virginia"
Region 4,2023-07-08,11.2716905772686,"Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, and Tennessee"
Region 5,2023-07-08,11.36738657951355,"Illinois, Indiana, Michigan, Minnesota, Ohio, and Wisconsin"
Region 6,2023-07-08,11.413345485925674,"Arkansas, Louisiana, New Mexico, Oklahoma, and Texas"
Region 7,2023-07-08,8.939233422279358,"Iowa, Kansas, Missouri, and Nebraska"
Region 8,2023-07-08,20.123770833015442,"Colorado, Montana, North Dakota, South Dakota, Utah, and Wyoming"
Region 9,2023-07-08,13.055062294006348,"Arizona, California, Hawaii, Nevada, American Samoa, Commonwealth of the Northern Mariana Islands, Federated States of Micronesia, Guam, Marshall Islands, and Republic of Palau"
