ID,day_of_week_end,XBB.1.5,States
Region 1,2023-05-06,72.90462851524353,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont"
Region 10,2023-05-06,62.46502995491028,"Alaska, Idaho, Oregon, and Washington"
Region 2,2023-05-06,65.79214930534363,"New Jersey, New York, Puerto Rico, and the Virgin Islands"
Region 3,2023-05-06,65.36142230033875,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, and West Virginia"
Region 4,2023-05-06,69.50283646583557,"Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, and Tennessee"
Region 5,2023-05-06,69.61839199066162,"Illinois, Indiana, Michigan, Minnesota, Ohio, and Wisconsin"
Region 6,2023-05-06,66.72020554542542,"Arkansas, Louisiana, New Mexico, Oklahoma, and Texas"
Region 7,2023-05-06,58.081698417663574,"Iowa, Kansas, Missouri, and Nebraska"
Region 8,2023-05-06,72.35296964645386,"Colorado, Montana, North Dakota, South Dakota, Utah, and Wyoming"
Region 9,2023-05-06,65.83495736122131,"Arizona, California, Hawaii, Nevada, American Samoa, Commonwealth of the Northern Mariana Islands, Federated States of Micronesia, Guam, Marshall Islands, and Republic of Palau"
