ID,day_of_week_end,XBB.1.16,States
Region 1,2023-05-13,13.8639897108078,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont"
Region 10,2023-05-13,15.609069168567657,"Alaska, Idaho, Oregon, and Washington"
Region 2,2023-05-13,18.08459311723709,"New Jersey, New York, Puerto Rico, and the Virgin Islands"
Region 3,2023-05-13,17.763333022594452,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, and West Virginia"
Region 4,2023-05-13,14.464284479618073,"Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, and Tennessee"
Region 5,2023-05-13,14.409331977367401,"Illinois, Indiana, Michigan, Minnesota, Ohio, and Wisconsin"
Region 6,2023-05-13,14.2343208193779,"Arkansas, Louisiana, New Mexico, Oklahoma, and Texas"
Region 7,2023-05-13,6.260961294174194,"Iowa, Kansas, Missouri, and Nebraska"
Region 8,2023-05-13,5.055764317512512,"Colorado, Montana, North Dakota, South Dakota, Utah, and Wyoming"
Region 9,2023-05-13,12.27303072810173,"Arizona, California, Hawaii, Nevada, American Samoa, Commonwealth of the Northern Mariana Islands, Federated States of Micronesia, Guam, Marshall Islands, and Republic of Palau"
